this line is ignored
this line is ignored
8.3280e-02      9.0860e-02      1.0248e-02      2.0889e-04      8.4828e+01      8.4828e+01      7.4340e+00      6.6446e-11      6.6446e-11      5.9100e-12      5.0837e+12      3.2276e+11      4.0052e+00      3.4566e-01      1.7894e-23      6.3758e+00      5.6539e-01      3.8255e+00      3.3924e-01
7.5710e-02      8.3280e-02      1.0591e-02      3.8548e-04      8.1501e+01      8.1501e+01      7.8627e+00      6.7436e-11      6.7436e-11      6.7582e-12      1.8715e+13      1.2814e+12      3.9491e+00      3.7373e-01      1.7894e-23      6.0834e+00      6.1682e-01      3.6500e+00      3.7010e-01
6.8140e-02      7.5710e-02      1.2271e-02      3.5305e-04      7.8347e+01      7.8347e+01      7.7008e+00      8.2861e-11      8.2861e-11      8.3361e-12      1.5237e+13      1.0772e+12      4.2416e+00      4.1124e-01      1.8758e-23      5.3795e+00      5.4404e-01      3.2277e+00      3.2642e-01
6.0570e-02      6.8140e-02      1.4080e-02      4.0970e-04      7.2837e+01      7.2837e+01      7.1284e+00      9.6871e-11      9.6871e-11      9.7107e-12      1.3862e+13      9.7516e+11      4.2094e+00      3.9988e-01      1.8982e-23      4.5981e+00      4.5683e-01      2.7588e+00      2.7410e-01
5.3000e-02      6.0570e-02      1.6118e-02      4.3943e-04      6.4585e+01      6.4585e+01      6.1777e+00      1.0760e-10      1.0760e-10      1.0522e-11      1.1918e+13      8.2072e+11      4.0748e+00      3.8345e-01      1.8765e-23      3.9332e+00      3.8534e-01      2.3599e+00      2.3121e-01
4.5430e-02      5.3000e-02      2.2143e-02      4.9273e-04      4.9883e+01      4.9883e+01      4.6894e+00      1.4110e-10      1.4110e-10      1.3469e-11      9.0001e+12      6.1269e+11      3.8184e+00      3.4744e-01      1.7795e-23      2.8291e+00      2.6501e-01      1.6975e+00      1.5901e-01
3.7860e-02      4.5430e-02      2.6009e-02      5.5760e-04      4.1287e+01      4.1287e+01      4.1320e+00      1.5271e-10      1.5271e-10      1.5476e-11      6.8775e+12      4.9957e+11      3.5377e+00      3.5133e-01      1.7856e-23      2.2238e+00      2.2594e-01      1.3343e+00      1.3556e-01
3.0290e-02      3.7860e-02      3.2752e-02      5.3117e-04      3.3761e+01      3.3761e+01      2.7789e+00      1.8337e-10      1.8337e-10      1.5255e-11      4.9278e+12      2.9487e+11      3.2308e+00      2.5765e-01      1.7498e-23      1.6457e+00      1.3393e-01      9.8742e-01      8.0358e-02
2.2710e-02      3.0290e-02      3.5399e-02      5.7924e-04      2.9155e+01      2.9155e+01      2.5724e+00      1.8025e-10      1.8025e-10      1.6055e-11      2.5753e+12      1.6535e+11      3.1708e+00      2.6074e-01      1.8234e-23      1.4341e+00      1.2024e-01      8.6047e-01      7.2145e-02
1.5140e-02      2.2710e-02      4.3050e-02      5.8564e-04      2.5394e+01      2.5394e+01      1.9254e+00      2.1754e-10      2.1754e-10      1.6640e-11      2.7260e+12      1.5048e+11      3.0181e+00      2.3962e-01      1.8483e-23      1.1073e+00      8.9195e-02      6.6438e-01      5.3517e-02
7.5700e-03      1.5140e-02      6.5628e-02      7.2684e-04      1.6165e+01      1.6165e+01      1.2840e+00      2.7961e-10      2.7961e-10      2.2330e-11      5.4638e+11      3.1689e+10      2.5829e+00      2.0486e-01      1.6250e-23      7.0704e-01      5.6622e-02      4.2422e-01      3.3973e-02
0.0000e+00      7.5700e-03      8.4861e-02      7.1986e-04      1.1496e+01      1.2221e+01      9.8604e-01      3.0519e-10      3.2444e-10      2.6248e-11      2.3060e+11      1.4473e+10      2.3600e+00      1.9000e-01      1.5948e-23      5.0907e-01      4.1211e-02      3.0544e-01      2.4727e-02
